feature_chr,feature_start,feature_end,region_chr,region_start,region_end,gene_id,gene_name,feature_type,score
chr2L,5979211,5979232,chr2L,5979101,5981101,FBgn0000308,FBgn0000308,structure,143.93
chr2L,5979211,5979232,chr2L,5979101,5981101,FBgn0000308,FBgn0000308,structure,143.93
chr2L,5999249,5999272,chr2L,5998501,6000501,FBgn0031759,FBgn0031759,structure,107.17
chr2L,5999249,5999272,chr2L,5998501,6000501,FBgn0031759,FBgn0031759,structure,107.17
chr2L,5999249,5999272,chr2L,5998501,6000501,FBgn0031759,FBgn0031759,structure,107.17
chr2L,5999249,5999272,chr2L,5998501,6000501,FBgn0031759,FBgn0031759,structure,107.17
chr2L,5999249,5999272,chr2L,5999228,6001228,FBgn0031760,FBgn0031760,structure,107.17
chr2L,5999249,5999272,chr2L,5999228,6001228,FBgn0031760,FBgn0031760,structure,107.17
chr2L,5999249,5999272,chr2L,5999228,6001228,FBgn0031760,FBgn0031760,structure,107.17
chr2L,6255687,6255713,chr2L,6254859,6256859,FBgn0031791,FBgn0031791,structure,147.53
chr2L,6255687,6255713,chr2L,6254859,6256859,FBgn0031791,FBgn0031791,structure,147.53
chr2L,6264133,6264163,chr2L,6263490,6265490,FBgn0031792,FBgn0031792,structure,134.76
chr2L,6355769,6355798,chr2L,6353956,6355956,FBgn0031803,FBgn0031803,structure,80.86
chr2L,6358968,6358991,chr2L,6357318,6359318,FBgn0031804,FBgn0031804,structure,130.22
chr2L,6509138,6509162,chr2L,6507404,6509404,FBgn0266001,FBgn0266001,structure,127.5
chr2L,6601673,6601690,chr2L,6600068,6602068,FBgn0031835,FBgn0031835,structure,88.24
chr2L,6601673,6601690,chr2L,6600068,6602068,FBgn0031835,FBgn0031835,structure,88.24
chr2L,6601673,6601690,chr2L,6600068,6602068,FBgn0031835,FBgn0031835,structure,88.24
chr2L,6796934,6796956,chr2L,6795783,6797783,FBgn0015777,FBgn0015777,structure,121.14
chr2L,6896250,6896270,chr2L,6895832,6897832,FBgn0031866,FBgn0031866,structure,127.5
chr2L,6896250,6896270,chr2L,6895832,6897832,FBgn0031866,FBgn0031866,structure,127.5
chr2L,6948275,6948305,chr2L,6947808,6949808,FBgn0031872,FBgn0031872,structure,169.0
chr2L,7752637,7752664,chr2L,7752153,7754153,FBgn0031942,FBgn0031942,structure,125.26
chr2L,7752637,7752664,chr2L,7752186,7754186,FBgn0031942,FBgn0031942,structure,125.26
chr2L,7752637,7752664,chr2L,7752183,7754183,FBgn0267282,FBgn0267282,structure,125.26
chr2L,7854902,7854930,chr2L,7854255,7856255,FBgn0031955,FBgn0031955,structure,130.48
chr2L,7854902,7854930,chr2L,7854475,7856475,FBgn0031955,FBgn0031955,structure,130.48
chr2L,8571342,8571376,chr2L,8569888,8571888,FBgn0051895,FBgn0051895,structure,143.11
chr2L,8619549,8619574,chr2L,8619028,8621028,FBgn0051602,FBgn0051602,structure,129.25
chr2L,8989366,8989398,chr2L,8988539,8990539,FBgn0011705,FBgn0011705,structure,139.17
chr2L,8989366,8989398,chr2L,8988182,8990182,FBgn0011705,FBgn0011705,structure,139.17
chr2L,8989366,8989398,chr2L,8988287,8990287,FBgn0011705,FBgn0011705,structure,139.17
chr2L,9372018,9372048,chr2L,9371102,9373102,FBgn0264447,FBgn0264447,structure,143.33
chr2L,9470614,9470635,chr2L,9469326,9471326,FBgn0264269,FBgn0264269,structure,112.14
chr2L,9470870,9470888,chr2L,9469326,9471326,FBgn0264269,FBgn0264269,structure,128.47
chr2L,9576211,9576239,chr2L,9575769,9577769,FBgn0028479,FBgn0028479,structure,138.57
chr2L,9576211,9576239,chr2L,9575769,9577769,FBgn0028479,FBgn0028479,structure,138.57
chr2L,9898148,9898172,chr2L,9896552,9898552,FBgn0004867,FBgn0004867,structure,121.25
chr2L,9898148,9898172,chr2L,9896521,9898521,FBgn0004867,FBgn0004867,structure,121.25
chr2L,9898148,9898172,chr2L,9896521,9898521,FBgn0004867,FBgn0004867,structure,121.25
chr2L,10048933,10048957,chr2L,10048580,10050580,FBgn0053301,FBgn0053301,structure,75.0
chr2L,10048933,10048957,chr2L,10048580,10050580,FBgn0053301,FBgn0053301,structure,75.0
chr2L,10093723,10093750,chr2L,10093088,10095088,FBgn0083945,FBgn0083945,structure,129.96
chr2L,10632052,10632085,chr2L,10630191,10632191,FBgn0032271,FBgn0032271,structure,183.18
chr2L,10836795,10836825,chr2L,10836511,10838511,FBgn0011676,FBgn0011676,structure,106.33
chr2L,10836795,10836825,chr2L,10836511,10838511,FBgn0011676,FBgn0011676,structure,106.33
chr2L,10894465,10894487,chr2L,10894344,10896344,FBgn0265684,FBgn0265684,structure,140.68
chr2L,10938335,10938360,chr2L,10936353,10938353,FBgn0032318,FBgn0032318,structure,145.43
chr2L,11074783,11074804,chr2L,11073898,11075898,FBgn0267289,FBgn0267289,structure,118.15
chr2L,11074783,11074804,chr2L,11074513,11076513,FBgn0263971,FBgn0263971,structure,118.15
chr2L,11074807,11074828,chr2L,11073898,11075898,FBgn0267289,FBgn0267289,structure,112.14
chr2L,11074807,11074828,chr2L,11074513,11076513,FBgn0263971,FBgn0263971,structure,112.14
chr2L,11278296,11278320,chr2L,11277021,11279021,FBgn0052831,FBgn0052831,structure,145.0
chr2L,11278296,11278320,chr2L,11277021,11279021,FBgn0052831,FBgn0052831,structure,145.0
chr2L,11278296,11278320,chr2L,11277151,11279151,FBgn0052831,FBgn0052831,structure,145.0
chr2L,11278296,11278320,chr2L,11277279,11279279,FBgn0052831,FBgn0052831,structure,145.0
chr2L,11391380,11391407,chr2L,11391320,11393320,FBgn0263764,FBgn0263764,structure,111.15
chr2L,11391380,11391407,chr2L,11391298,11393298,FBgn0263764,FBgn0263764,structure,111.15
chr2L,11487173,11487197,chr2L,11485182,11487182,FBgn0003313,FBgn0003313,structure,137.83
chr2L,11516268,11516287,chr2L,11516081,11518081,FBgn0032363,FBgn0032363,structure,145.35
chr2L,11516268,11516287,chr2L,11516081,11518081,FBgn0032363,FBgn0032363,structure,145.35
chr2L,11516268,11516287,chr2L,11516081,11518081,FBgn0032363,FBgn0032363,structure,145.35
chr2L,11516268,11516287,chr2L,11516081,11518081,FBgn0032363,FBgn0032363,structure,145.35
chr2L,11739756,11739778,chr2L,11737948,11739948,FBgn0032373,FBgn0032373,structure,109.55
chr2L,11739756,11739778,chr2L,11737948,11739948,FBgn0032373,FBgn0032373,structure,109.55
chr2L,12365618,12365645,chr2L,12365366,12367366,FBgn0262475,FBgn0262475,structure,139.37
chr2L,12543422,12543441,chr2L,12542176,12544176,FBgn0261709,FBgn0261709,structure,137.7
chr2L,13828034,13828050,chr2L,13826772,13828772,FBgn0004406,FBgn0004406,structure,100.0
chr2L,14134224,14134254,chr2L,14133472,14135472,FBgn0283651,FBgn0283651,structure,167.08
chr2L,14745903,14745922,chr2L,14744210,14746210,FBgn0260955,FBgn0260955,structure,137.68
chr2L,14745903,14745922,chr2L,14745176,14747176,FBgn0286892,FBgn0286892,structure,137.68
chr2L,14760313,14760340,chr2L,14759767,14761767,FBgn0028870,FBgn0028870,structure,137.13
chr2L,14765280,14765308,chr2L,14764908,14766908,FBgn0028868,FBgn0028868,structure,118.57
chr2L,15012573,15012597,chr2L,15011667,15013667,FBgn0264438,FBgn0264438,structure,135.0
chr2L,15245453,15245481,chr2L,15244960,15246960,FBgn0028516,FBgn0028516,structure,147.14
chr2L,15245838,15245858,chr2L,15244960,15246960,FBgn0028516,FBgn0028516,structure,146.25
chr2L,15469260,15469283,chr2L,15468527,15470527,FBgn0266893,FBgn0266893,structure,142.9
chr2L,15837933,15837962,chr2L,15836444,15838444,FBgn0051822,FBgn0051822,structure,144.93
chr2L,15940675,15940696,chr2L,15940441,15942441,FBgn0028857,FBgn0028857,structure,124.9
chr2L,16542130,16542149,chr2L,16541546,16543546,FBgn0051816,FBgn0051816,structure,144.21
chr2L,16950472,16950490,chr2L,16949070,16951070,FBgn0265543,FBgn0265543,structure,83.33
chr2L,16998527,16998548,chr2L,16997327,16999327,FBgn0266896,FBgn0266896,structure,112.14
chr2L,16998527,16998548,chr2L,16997683,16999683,FBgn0266897,FBgn0266897,structure,112.14
chr2L,17355841,17355871,chr2L,17353877,17355877,FBgn0265445,FBgn0265445,structure,151.25
chr2L,17556585,17556602,chr2L,17554765,17556765,FBgn0032650,FBgn0032650,structure,125.59
chr2L,17588575,17588606,chr2L,17587670,17589670,FBgn0265584,FBgn0265584,structure,149.31
chr2L,17588575,17588606,chr2L,17587720,17589720,FBgn0265584,FBgn0265584,structure,149.31
chr2L,17588575,17588606,chr2L,17588184,17590184,FBgn0032651,FBgn0032651,structure,149.31
chr2L,17588575,17588606,chr2L,17588402,17590402,FBgn0032651,FBgn0032651,structure,149.31
chr2L,17588575,17588606,chr2L,17588402,17590402,FBgn0032651,FBgn0032651,structure,149.31
chr2L,17606819,17606842,chr2L,17606260,17608260,FBgn0265585,FBgn0265585,structure,124.87
chr2L,18121896,18121917,chr2L,18121528,18123528,FBgn0032666,FBgn0032666,structure,112.14
chr2L,18121896,18121917,chr2L,18121528,18123528,FBgn0032666,FBgn0032666,structure,112.14
chr2L,18121896,18121917,chr2L,18121528,18123528,FBgn0032666,FBgn0032666,structure,112.14
chr2L,18400336,18400357,chr2L,18399462,18401462,FBgn0265679,FBgn0265679,structure,136.43
chr2L,18401003,18401031,chr2L,18399462,18401462,FBgn0265679,FBgn0265679,structure,134.88
chr2L,18589326,18589350,chr2L,18589342,18591342,FBgn0085370,FBgn0085370,structure,132.67
chr2L,18670379,18670406,chr2L,18669043,18671043,FBgn0263079,FBgn0263079,structure,120.56
chr2L,18670379,18670406,chr2L,18670246,18672246,FBgn0263079,FBgn0263079,structure,120.56
chr2L,18796122,18796147,chr2L,18795180,18797180,FBgn0266209,FBgn0266209,structure,147.0
chr2L,18866844,18866866,chr2L,18866161,18868161,FBgn0263568,FBgn0263568,structure,126.93
chr2L,19024844,19024871,chr2L,19023440,19025440,FBgn0263838,FBgn0263838,structure,153.59
chr2L,19036450,19036478,chr2L,19034500,19036500,FBgn0086442,FBgn0086442,structure,139.29
chr2L,19370151,19370174,chr2L,19369445,19371445,FBgn0032771,FBgn0032771,structure,112.77
chr2L,19392937,19392960,chr2L,19392835,19394835,FBgn0032775,FBgn0032775,structure,118.37
chr2L,19398932,19398961,chr2L,19397493,19399493,FBgn0032775,FBgn0032775,structure,161.47
chr2L,19398932,19398961,chr2L,19397493,19399493,FBgn0032775,FBgn0032775,structure,161.47
chr2L,19398932,19398961,chr2L,19397493,19399493,FBgn0032775,FBgn0032775,structure,161.47
chr2L,19402910,19402939,chr2L,19402568,19404568,FBgn0065096,FBgn0065096,structure,136.6
chr2L,19575183,19575210,chr2L,19574587,19576587,FBgn0005672,FBgn0005672,structure,134.67
chr2L,19756441,19756467,chr2L,19755904,19757904,FBgn0032817,FBgn0032817,structure,127.54
chr2L,20066762,20066784,chr2L,20065391,20067391,FBgn0045064,FBgn0045064,structure,144.27
chr2L,20066762,20066784,chr2L,20065391,20067391,FBgn0045064,FBgn0045064,structure,144.27
chr2L,20248086,20248101,chr2L,20247039,20249039,FBgn0259996,FBgn0259996,structure,100.0
chr2L,20257935,20257967,chr2L,20256192,20258192,FBgn0259998,FBgn0259998,structure,128.38
chr2L,20257935,20257967,chr2L,20255952,20257952,FBgn0259998,FBgn0259998,structure,128.38
chr2L,20296892,20296922,chr2L,20296299,20298299,FBgn0263333,FBgn0263333,structure,128.0
chr2L,20296892,20296922,chr2L,20296299,20298299,FBgn0263333,FBgn0263333,structure,128.0
chr2L,20342595,20342619,chr2L,20340851,20342851,FBgn0003475,FBgn0003475,structure,137.83
chr2L,20530878,20530907,chr2L,20530066,20532066,FBgn0265256,FBgn0265256,structure,133.97
chr2L,20551189,20551218,chr2L,20550354,20552354,FBgn0284409,FBgn0284409,structure,161.47
chr2L,20650597,20650624,chr2L,20649189,20651189,FBgn0032871,FBgn0032871,structure,128.06
chr2L,20869723,20869753,chr2L,20868854,20870854,FBgn0032900,FBgn0032900,structure,130.83
chr2L,20869723,20869753,chr2L,20868854,20870854,FBgn0032900,FBgn0032900,structure,130.83
chr2L,20869723,20869753,chr2L,20868854,20870854,FBgn0032900,FBgn0032900,structure,130.83
chr2L,21902473,21902491,chr2L,21901993,21903993,FBgn0032966,FBgn0032966,structure,94.44
chr2L,21958746,21958767,chr2L,21956820,21958820,FBgn0265148,FBgn0265148,structure,136.43
chr2L,21958746,21958767,chr2L,21957463,21959463,FBgn0266038,FBgn0266038,structure,136.43
chr2L,1724050,1724076,chr2L,1723388,1725388,FBgn0031359,FBgn0031359,structure,136.83
chr2L,1724050,1724076,chr2L,1723388,1725388,FBgn0031359,FBgn0031359,structure,136.83
chr2L,1724050,1724076,chr2L,1723388,1725388,FBgn0031359,FBgn0031359,structure,136.83
chr2L,2079590,2079626,chr2L,2078919,2080919,FBgn0031388,FBgn0031388,structure,135.83
chr2L,2079590,2079626,chr2L,2078919,2080919,FBgn0031388,FBgn0031388,structure,135.83
chr2L,5799487,5799511,chr2L,5799173,5801173,FBgn0031738,FBgn0031738,structure,83.33
chr2L,5799487,5799511,chr2L,5799253,5801253,FBgn0031738,FBgn0031738,structure,83.33
chr2L,5799487,5799511,chr2L,5799173,5801173,FBgn0031738,FBgn0031738,structure,83.33
chr2R,5709560,5709582,chr2R,5708292,5710292,FBgn0267978,FBgn0267978,structure,135.3
chr2R,5894831,5894853,chr2R,5892895,5894895,FBgn0263109,FBgn0263109,structure,127.64
chr2R,6035844,6035865,chr2R,6035388,6037388,FBgn0033052,FBgn0033052,structure,112.14
chr2R,6696286,6696308,chr2R,6695661,6697661,FBgn0259483,FBgn0259483,structure,122.09
chr2R,6696286,6696308,chr2R,6695661,6697661,FBgn0259483,FBgn0259483,structure,122.09
chr2R,6696286,6696308,chr2R,6695739,6697739,FBgn0014009,FBgn0014009,structure,122.09
chr2R,6696286,6696308,chr2R,6695739,6697739,FBgn0014009,FBgn0014009,structure,122.09
chr2R,6768934,6768962,chr2R,6768758,6770758,FBgn0085421,FBgn0085421,structure,142.86
chr2R,6828825,6828846,chr2R,6827356,6829356,FBgn0033108,FBgn0033108,structure,124.17
chr2R,6828825,6828846,chr2R,6827356,6829356,FBgn0033108,FBgn0033108,structure,124.17
chr2R,7157864,7157888,chr2R,7157241,7159241,FBgn0002930,FBgn0002930,structure,105.0
chr2R,7235063,7235086,chr2R,7233913,7235913,FBgn0026389,FBgn0026389,structure,119.52
chr2R,7407453,7407479,chr2R,7406819,7408819,FBgn0033166,FBgn0033166,structure,142.08
chr2R,7407453,7407479,chr2R,7406819,7408819,FBgn0033166,FBgn0033166,structure,142.08
chr2R,7407453,7407479,chr2R,7406819,7408819,FBgn0033166,FBgn0033166,structure,142.08
chr2R,7407453,7407479,chr2R,7406819,7408819,FBgn0033166,FBgn0033166,structure,142.08
chr2R,7407453,7407479,chr2R,7405837,7407837,FBgn0263529,FBgn0263529,structure,142.08
chr2R,7423250,7423269,chr2R,7421994,7423994,FBgn0265097,FBgn0265097,structure,94.74
chr2R,7431739,7431760,chr2R,7431496,7433496,FBgn0265099,FBgn0265099,structure,124.17
chr2R,7721949,7721969,chr2R,7721655,7723655,FBgn0042135,FBgn0042135,structure,140.0
chr2R,7721949,7721969,chr2R,7721655,7723655,FBgn0042135,FBgn0042135,structure,140.0
chr2R,7983967,7983990,chr2R,7983063,7985063,FBgn0033246,FBgn0033246,structure,112.77
chr2R,8029494,8029514,chr2R,8028433,8030433,FBgn0263970,FBgn0263970,structure,127.5
chr2R,8029494,8029514,chr2R,8028935,8030935,FBgn0263970,FBgn0263970,structure,127.5
chr2R,8041495,8041516,chr2R,8039984,8041984,FBgn0025360,FBgn0025360,structure,130.18
chr2R,8057654,8057680,chr2R,8057551,8059551,FBgn0033252,FBgn0033252,structure,152.09
chr2R,8205599,8205622,chr2R,8204706,8206706,FBgn0033275,FBgn0033275,structure,119.52
chr2R,8310034,8310065,chr2R,8308495,8310495,FBgn0265641,FBgn0265641,structure,161.85
chr2R,8327213,8327235,chr2R,8326490,8328490,FBgn0261588,FBgn0261588,structure,126.93
chr2R,8327213,8327235,chr2R,8326490,8328490,FBgn0261588,FBgn0261588,structure,126.93
chr2R,8327213,8327235,chr2R,8326490,8328490,FBgn0261588,FBgn0261588,structure,126.93
chr2R,8430755,8430782,chr2R,8430243,8432243,FBgn0002531,FBgn0002531,structure,149.52
chr2R,8430755,8430782,chr2R,8430243,8432243,FBgn0002531,FBgn0002531,structure,149.52
chr2R,8495141,8495165,chr2R,8493340,8495340,FBgn0050361,FBgn0050361,structure,122.33
chr2R,8690612,8690639,chr2R,8690448,8692448,FBgn0001285,FBgn0001285,structure,134.67
chr2R,8690612,8690639,chr2R,8690448,8692448,FBgn0001285,FBgn0001285,structure,134.67
chr2R,8743374,8743402,chr2R,8743376,8745376,FBgn0265304,FBgn0265304,structure,134.88
chr2R,8767849,8767880,chr2R,8767795,8769795,FBgn0265305,FBgn0265305,structure,149.31
chr2R,9295703,9295729,chr2R,9293795,9295795,FBgn0028408,FBgn0028408,structure,156.65
chr2R,9312450,9312476,chr2R,9312237,9314237,FBgn0267578,FBgn0267578,structure,144.23
chr2R,9312450,9312476,chr2R,9312116,9314116,FBgn0262220,FBgn0262220,structure,144.23
chr2R,9464516,9464535,chr2R,9463228,9465228,FBgn0259234,FBgn0259234,structure,89.47
chr2R,9683256,9683292,chr2R,9682858,9684858,FBgn0033438,FBgn0033438,structure,173.33
chr2R,9710458,9710476,chr2R,9709496,9711496,FBgn0265338,FBgn0265338,structure,100.0
chr2R,9788275,9788302,chr2R,9787539,9789539,FBgn0265106,FBgn0265106,structure,175.67
chr2R,9788275,9788302,chr2R,9787539,9789539,FBgn0265106,FBgn0265106,structure,175.67
chr2R,9832878,9832905,chr2R,9832572,9834572,FBgn0033448,FBgn0033448,structure,99.44
chr2R,9832878,9832905,chr2R,9832572,9834572,FBgn0033448,FBgn0033448,structure,99.44
chr2R,9958277,9958302,chr2R,9957858,9959858,FBgn0011656,FBgn0011656,structure,145.0
chr2R,9958277,9958302,chr2R,9957858,9959858,FBgn0011656,FBgn0011656,structure,145.0
chr2R,10042620,10042653,chr2R,10042507,10044507,FBgn0085249,FBgn0085249,structure,160.42
chr2R,10042698,10042728,chr2R,10042507,10044507,FBgn0085249,FBgn0085249,structure,130.71
chr2R,10101981,10102006,chr2R,10100036,10102036,FBgn0004907,FBgn0004907,structure,88.0
chr2R,10101981,10102006,chr2R,10100036,10102036,FBgn0004907,FBgn0004907,structure,88.0
chr2R,10101981,10102006,chr2R,10100036,10102036,FBgn0004907,FBgn0004907,structure,88.0
chr2R,10101981,10102006,chr2R,10100036,10102036,FBgn0004907,FBgn0004907,structure,88.0
chr2R,10101981,10102006,chr2R,10100036,10102036,FBgn0004907,FBgn0004907,structure,88.0
chr2R,10101981,10102006,chr2R,10100036,10102036,FBgn0004907,FBgn0004907,structure,88.0
chr2R,10233633,10233667,chr2R,10233607,10235607,FBgn0000448,FBgn0000448,structure,150.42
chr2R,10233633,10233667,chr2R,10233607,10235607,FBgn0000448,FBgn0000448,structure,150.42
chr2R,10233633,10233667,chr2R,10233607,10235607,FBgn0033497,FBgn0033497,structure,150.42
chr2R,10233633,10233667,chr2R,10233607,10235607,FBgn0033497,FBgn0033497,structure,150.42
chr2R,10234884,10234906,chr2R,10233607,10235607,FBgn0000448,FBgn0000448,structure,132.73
chr2R,10234884,10234906,chr2R,10233607,10235607,FBgn0000448,FBgn0000448,structure,132.73
chr2R,10234884,10234906,chr2R,10233607,10235607,FBgn0033497,FBgn0033497,structure,132.73
chr2R,10234884,10234906,chr2R,10233607,10235607,FBgn0033497,FBgn0033497,structure,132.73
chr2R,10537541,10537560,chr2R,10535660,10537660,FBgn0263466,FBgn0263466,structure,137.68
chr2R,10537541,10537560,chr2R,10535905,10537905,FBgn0263481,FBgn0263481,structure,137.68
chr2R,10537541,10537560,chr2R,10536120,10538120,FBgn0263482,FBgn0263482,structure,137.68
chr2R,10537541,10537560,chr2R,10536270,10538270,FBgn0263483,FBgn0263483,structure,137.68
chr2R,10833273,10833297,chr2R,10833236,10835236,FBgn0033558,FBgn0033558,structure,140.0
chr2R,10833273,10833297,chr2R,10833236,10835236,FBgn0033558,FBgn0033558,structure,140.0
chr2R,11172456,11172478,chr2R,11171206,11173206,FBgn0033579,FBgn0033579,structure,86.36
chr2R,11172456,11172478,chr2R,11171206,11173206,FBgn0033579,FBgn0033579,structure,86.36
chr2R,11184035,11184056,chr2R,11182224,11184224,FBgn0003396,FBgn0003396,structure,95.24
chr2R,11358175,11358205,chr2R,11356650,11358650,FBgn0011987,FBgn0011987,structure,151.25
chr2R,11358175,11358205,chr2R,11358176,11360176,FBgn0033624,FBgn0033624,structure,151.25
chr2R,11366595,11366626,chr2R,11365710,11367710,FBgn0033627,FBgn0033627,structure,145.24
chr2R,11605189,11605212,chr2R,11603936,11605936,FBgn0033636,FBgn0033636,structure,118.37
chr2R,11615411,11615431,chr2R,11615045,11617045,FBgn0033636,FBgn0033636,structure,140.0
chr2R,11615411,11615431,chr2R,11615045,11617045,FBgn0033636,FBgn0033636,structure,140.0
chr2R,11615411,11615431,chr2R,11615195,11617195,FBgn0264508,FBgn0264508,structure,140.0
chr2R,12019202,12019235,chr2R,12018846,12020846,FBgn0004839,FBgn0004839,structure,79.94
chr2R,12019202,12019235,chr2R,12018846,12020846,FBgn0004839,FBgn0004839,structure,79.94
chr2R,12080233,12080255,chr2R,12078543,12080543,FBgn0033679,FBgn0033679,structure,132.73
chr2R,12169136,12169163,chr2R,12167488,12169488,FBgn0014184,FBgn0014184,structure,132.59
chr2R,12169136,12169163,chr2R,12167731,12169731,FBgn0023167,FBgn0023167,structure,132.59
chr2R,12343995,12344027,chr2R,12343617,12345617,FBgn0033717,FBgn0033717,structure,158.75
chr2R,12343995,12344027,chr2R,12343617,12345617,FBgn0033717,FBgn0033717,structure,158.75
